City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
120,san antonio de pale,-1.4014,5.6325,78.85,83,98,14.09,GQ,1685164677
121,vovchans'k,50.3003,36.9467,67.41,79,100,8.41,UA,1685164678
122,hammerfest,70.6634,23.6821,36.05,80,75,16.11,NO,1685164678
123,buala,-8.145,159.5921,82.63,78,53,3.8,SB,1685164678
124,tortoli,39.9256,9.6572,66.02,72,0,11.5,IT,1685164679
125,lompoc,34.6391,-120.4579,58.01,81,100,8.01,US,1685164679
126,hermanus,-34.4187,19.2345,51.04,66,35,4.99,ZA,1685164679
127,kisanga,-7.4362,37.7034,72.21,91,84,3.0,TZ,1685164679
128,east london,-33.0153,27.9116,49.14,71,0,5.75,ZA,1685164680
129,san juan de miraflores,-12.1629,-76.9635,69.17,82,98,8.61,PE,1685164680
130,tsiombe,-25.3,45.4833,69.58,67,7,6.26,MG,1685164680
131,nadym,65.5333,72.5167,68.52,48,85,27.29,RU,1685164662
132,thompson,55.7435,-97.8558,42.96,100,100,0.0,CA,1685164681
133,quellon,-43.1167,-73.6167,30.45,100,20,3.44,CL,1685164681
134,kyren,51.6828,102.1408,44.46,84,100,2.93,RU,1685164682
135,vorgashor,67.5833,63.95,62.11,56,66,11.03,RU,1685164620
136,linxia chengguanzhen,35.6003,103.2064,61.18,58,100,3.94,CN,1685164682
137,manta,-0.95,-80.7333,76.75,86,92,5.82,EC,1685164683
138,udachny,66.4167,112.4,48.2,72,100,10.96,RU,1685164683
139,mount gambier,-37.8333,140.7667,56.48,71,100,12.06,AU,1685164516
140,pisco,-13.7,-76.2167,65.01,82,100,2.3,PE,1685164684
141,ribeira grande,38.5167,-28.7,62.78,81,99,11.01,PT,1685164684
142,kodiak,57.79,-152.4072,44.11,93,100,13.8,US,1685164684
143,tongouson,5.0214,120.1328,83.55,75,69,10.07,PH,1685164685
144,xai-xai,-25.0519,33.6442,71.24,89,100,7.81,MZ,1685164685
145,saipan,15.1355,145.701,88.5,100,40,17.27,MP,1685164685
146,mount pearl,47.5166,-52.7813,41.14,97,100,16.11,CA,1685164686
147,college,64.8569,-147.8028,59.32,73,75,5.75,US,1685164686
148,oral,51.2333,51.3667,78.78,29,0,8.95,KZ,1685164687
149,papao,-17.75,-149.55,80.28,79,33,18.77,PF,1685164687
150,kerikeri,-35.2268,173.9474,62.91,91,100,1.01,NZ,1685164688
151,chifeng,42.2683,118.9636,79.88,26,100,14.92,CN,1685164688
152,wanning,18.8003,110.3967,87.53,66,31,7.56,CN,1685164689
153,nemuro,43.3236,145.575,53.67,86,58,18.68,JP,1685164690
154,porangatu,-13.4408,-49.1486,72.27,58,36,2.33,BR,1685164690
155,papatowai,-46.5619,169.4708,55.62,86,100,4.85,NZ,1685164691
156,tanjung pandan,-2.75,107.65,87.33,59,100,6.55,ID,1685164691
157,afaahiti,-17.75,-149.2833,78.67,79,43,15.41,PF,1685164691
158,whitehorse,60.7161,-135.0538,47.17,36,75,8.05,CA,1685164692
159,soligalich,59.0778,42.2864,61.21,81,85,3.8,RU,1685164692
160,port augusta,-32.5,137.7667,64.44,44,87,8.86,AU,1685164693
161,itoman,26.1247,127.6694,80.62,78,75,18.41,JP,1685164693
162,wynyard,-41.0,145.7167,55.56,72,96,15.12,AU,1685164693
163,nava,28.4167,-100.7667,75.6,66,62,9.22,MX,1685164694
164,kamaishi,39.2667,141.8833,69.08,63,21,7.96,JP,1685164694
165,arkhangel'sk,64.5401,40.5433,52.74,48,90,6.73,RU,1685164482
166,ciudad bolivar,8.1222,-63.5497,78.93,85,100,10.83,VE,1685164695
167,tidjikja,18.5564,-11.4271,79.39,48,99,17.65,MR,1685164695
168,egilsstadir,65.2653,-14.3948,44.51,57,75,16.11,IS,1685164695
169,quang ngai,15.1167,108.8,92.66,53,13,10.74,VN,1685164696
170,albany,42.6001,-73.9662,52.21,81,0,1.01,US,1685164528
171,sainte-adresse,49.5089,0.0845,51.06,87,0,10.36,FR,1685164696
172,mejit,10.2753,170.8646,79.65,79,100,16.2,MH,1685164697
173,teguise,29.0605,-13.564,61.02,72,20,2.3,ES,1685164697
174,susuman,62.7833,148.1667,47.75,39,67,9.24,RU,1685164697
175,makarov,48.6333,142.8,59.58,64,58,8.68,RU,1685164698
176,madara,11.7798,10.4479,84.88,52,92,8.08,NG,1685164698
177,tura,25.5198,90.2201,81.99,68,1,4.76,IN,1685164699
178,akseki,37.0486,31.79,62.29,31,39,1.25,TR,1685164699
179,nizhnevartovsk,60.9344,76.5531,68.02,28,0,8.99,RU,1685164699
180,hithadhoo,-0.6,73.0833,83.03,76,94,11.41,MV,1685164700
181,iron river,46.0927,-88.6423,41.76,80,80,5.23,US,1685164700
